"fips","year_month","case_rate_100k","avg_temperature_air_2m_f","avg_humidity_relative_2m_pct","avg_wind_speed_10m_mph","avg_particulate_matter_2p5_ugpm3_x10","tot_precipitation_in"
1003,"01/2010",0,44.0677419354839,72.7322580645161,5.32258064516129,NA,6.31
1003,"01/2011",0,46.5709677419355,73.6290322580645,4.31612903225806,NA,2.69
1003,"01/2012",0,55.3903225806452,75.8548387096774,4.30967741935484,NA,1.73
1003,"01/2013",0,55.6225806451613,85.0645161290323,4.69354838709677,NA,1.66
1003,"01/2014",0,44.3225806451613,67.3612903225806,4.66774193548387,NA,2.11
1003,"01/2015",0,48.958064516129,74.8322580645161,4.50645161290323,NA,3.29
1003,"01/2016",0,48.7096774193548,76.241935483871,5.34516129032258,NA,2.98
1003,"01/2017",0,57.4129032258065,79.9451612903226,4.01935483870968,NA,8.1
1003,"01/2018",0,45.5741935483871,68.3935483870968,5.40322580645161,NA,2.63
1003,"01/2019",0,50.4612903225806,78.2838709677419,3.32258064516129,NA,2.25
1003,"02/2010",0,44.7607142857143,72.5321428571429,5.21071428571429,NA,4.46
1003,"02/2011",0,53.1285714285714,78.5535714285714,4.69285714285714,NA,1.76
1003,"02/2012",0,56.7931034482759,80.3344827586207,4.27586206896552,NA,4.8
1003,"02/2013",0,55.0142857142857,78.2928571428571,4.125,NA,7.82
1003,"02/2014",0,53.1071428571429,81.6821428571429,4.48928571428571,NA,3.09
1003,"02/2015",0,47.7357142857143,73.0892857142857,5.19642857142857,NA,1.63
1003,"02/2016",0,54.4137931034483,70.751724137931,5.83448275862069,NA,2.49
1003,"02/2017",0,59.9785714285714,79.225,3.41071428571429,NA,2.05
1003,"02/2018",0,63.825,85.2714285714286,5.13214285714286,NA,4.95
1003,"02/2019",0,61.4964285714286,82.9178571428571,3.73928571428571,NA,2.1
1003,"03/2010",0,54.3354838709677,70.2870967741935,4.7,NA,3.42
1003,"03/2011",0,62.1516129032258,77.2612903225806,5.33870967741935,NA,3.21
1003,"03/2012",0,66.7387096774194,78.1483870967742,4.5258064516129,NA,4
1003,"03/2013",0,55,67.8064516129032,4.56774193548387,NA,0.81
1003,"03/2014",0,56.6709677419355,77.4645161290323,4.61612903225806,NA,6.16
1003,"03/2015",0,63.8064516129032,81.8838709677419,4.61935483870968,NA,3.4
1003,"03/2016",0,63.7225806451613,80.0935483870968,6.07741935483871,NA,8.57
1003,"03/2017",0,62.4032258064516,73.7838709677419,4.02258064516129,NA,2.57
1003,"03/2018",0,59.6096774193548,73.2806451612903,4.97096774193548,NA,2.61
1003,"03/2019",0,58.4032258064516,73.7032258064516,3.22258064516129,NA,1.65
1003,"04/2010",0,65.8733333333333,70.6433333333333,4.19,NA,2.07
1003,"04/2011",0,69.73,75.0833333333333,5.81666666666667,NA,0.69
1003,"04/2012",0,67.9266666666667,69.7066666666667,3.98,NA,2.37
1003,"04/2013",0,65.37,79.7233333333333,4.15333333333333,NA,3.8
1003,"04/2014",0,65.58,80.0733333333333,5.38,NA,12.07
1003,"04/2015",0,70.3533333333333,83.0666666666667,4.51333333333333,NA,7.26
1003,"04/2016",0,67.5366666666667,74.8933333333333,4.87,NA,4.62
1003,"04/2017",0,68.51,76.86,3.86,NA,4.16
1003,"04/2018",0,63.5933333333333,74.5766666666667,5.13,NA,3.29
1003,"04/2019",0,65.3933333333333,77.0366666666667,3.16333333333333,NA,4.58
1003,"05/2010",0,75.2129032258065,78.6387096774194,3.79032258064516,NA,5.74
1003,"05/2011",0,72.6967741935484,71.2258064516129,4.21290322580645,NA,1.38
1003,"05/2012",0,75.5935483870968,67.9548387096774,3.77096774193548,NA,4.97
1003,"05/2013",0,70.6322580645161,75.3064516129032,3.85161290322581,NA,5.5
1003,"05/2014",0,72.3096774193548,76.5096774193548,4.13870967741935,NA,5.37
1003,"05/2015",0,75.4032258064516,75.4903225806452,4.38064516129032,NA,2.95
1003,"05/2016",0,73.1322580645161,75.4645161290323,4.34838709677419,NA,2.18
1003,"05/2017",0,72.2806451612903,78.3096774193548,4.29677419354839,NA,10.64
1003,"05/2018",0,74.8709677419355,78.3225806451613,3.81290322580645,NA,6.15
1003,"05/2019",0,75.4225806451613,78.3387096774194,2.41935483870968,NA,4
1003,"06/2010",0,80.6433333333333,78.6066666666667,3.33333333333333,NA,3.26
1003,"06/2011",0,82.0466666666667,71.7066666666667,3.84666666666667,NA,6.33
1003,"06/2012",0,77.98,73.1033333333333,4.15,NA,9.6
1003,"06/2013",0,79.4666666666667,81.4133333333333,3.38,NA,5.77
1003,"06/2014",0,78.94,80.7033333333333,3.54333333333333,NA,4.79
1003,"06/2015",0,79.92,79.5233333333333,4.59333333333333,NA,4
1003,"06/2016",0,79.76,79.5766666666667,4.06333333333333,NA,4.48
1003,"06/2017",0,76.7666666666667,85.4933333333333,4.33,NA,13.89
1003,"06/2018",0,79.5433333333333,82.9333333333333,3.56,NA,6.33
1003,"06/2019",1.66599373209616,79.5033333333333,79.1433333333333,2.52333333333333,NA,6.05
1003,"07/2010",0,81.8322580645161,79.2387096774194,4.08387096774194,NA,5.18
1003,"07/2011",0,81.2290322580645,79.2451612903226,3.16774193548387,NA,8.67
1003,"07/2012",0,79.5451612903226,80.6322580645161,3.07741935483871,NA,6.43
1003,"07/2013",2.85830092069124,78.3967741935484,85.1354838709677,3.43548387096774,NA,7.66
1003,"07/2014",0,79.1838709677419,78.4677419354839,3.13548387096774,NA,4.5
1003,"07/2015",0,82.3903225806452,79.1870967741935,4.81290322580645,NA,3.83
1003,"07/2016",0,81.0645161290323,84.3322580645161,3.98064516129032,NA,4.47
1003,"07/2017",0,80.2677419354839,83.5645161290323,3.13870967741935,NA,4.87
1003,"07/2018",0,79.9677419354839,85.8193548387097,2.83225806451613,NA,7.58
1003,"07/2019",0,80.7451612903226,78.3258064516129,2.08064516129032,NA,6.19
1003,"08/2010",0,80.6935483870968,85.0903225806452,4.08387096774194,NA,9.09
1003,"08/2011",0,83.2161290322581,73.7903225806452,2.89032258064516,NA,1.73
1003,"08/2012",2.22248964205974,79.1451612903226,82.0161290322581,4.15806451612903,NA,9.65
1003,"08/2013",0,78.9709677419355,83.3096774193548,3.48709677419355,NA,6.02
1003,"08/2014",0,80.6,78.7870967741935,2.94193548387097,NA,4.11
1003,"08/2015",0,81.2032258064516,76.6322580645161,4.29354838709677,NA,3.25
1003,"08/2016",0,80.658064516129,85.6677419354839,3.2258064516129,NA,5.78
1003,"08/2017",0,79.2290322580645,84.9161290322581,3.28709677419355,NA,12.92
1003,"08/2018",0,78.4032258064516,86.1806451612903,2.69677419354839,NA,6.57
1003,"08/2019",0,79.6161290322581,83.9741935483871,1.74193548387097,NA,5.35
1003,"09/2010",0,77.3933333333333,75.55,3.44666666666667,NA,2.79
1003,"09/2011",0,74.2966666666667,78.4666666666667,4.06333333333333,NA,8.3
1003,"09/2012",0,75.81,77.3266666666667,3.33,NA,4.91
1003,"09/2013",0,77.8433333333333,79.62,3.38666666666667,NA,2.11
1003,"09/2014",0,76.5333333333333,83.4033333333333,2.89333333333333,NA,3.55
1003,"09/2015",0,76.58,77.9033333333333,4.24333333333333,NA,3.63
1003,"09/2016",0,77.8066666666667,82.5833333333333,1.99333333333333,NA,3.52
1003,"09/2017",0,75.38,80.2533333333333,3.49666666666667,NA,3.82
1003,"09/2018",0,78.0766666666667,88.78,2.65333333333333,NA,9.46
1003,"09/2019",0,79.71,76.9733333333333,1.81333333333333,NA,1.11
1003,"10/2010",0,67.3709677419355,66.3709677419355,3.79677419354839,NA,2.55
1003,"10/2011",0,63.858064516129,68.8677419354839,3.43548387096774,NA,0.1
1003,"10/2012",0,65.8096774193548,70.5806451612903,3.33548387096774,NA,0.49
1003,"10/2013",0,69.0741935483871,78.1516129032258,3.91612903225806,NA,1.7
1003,"10/2014",0,67.3645161290323,76.1193548387097,3.28709677419355,NA,2.18
1003,"10/2015",0,68.6161290322581,74.9,5.04838709677419,NA,3.18
1003,"10/2016",0,70.1774193548387,69.1935483870968,1.9741935483871,NA,0.02
1003,"10/2017",0,68.2774193548387,81.3870967741936,4.27741935483871,NA,10.37
1003,"10/2018",0,71.0838709677419,82.2193548387097,3.26451612903226,NA,2.37
1003,"10/2019",0,70.4096774193548,81.8903225806452,2.62903225806452,NA,7.29
1003,"11/2010",0,59.3133333333333,78.59,4.15,NA,5.61
1003,"11/2011",0,59.4266666666667,78.1233333333333,4.91666666666667,NA,2.22
1003,"11/2012",0,55.92,73.4066666666667,3.38666666666667,NA,1.18
1003,"11/2013",0,56.7366666666667,73.0533333333333,5.24,NA,1.5
1003,"11/2014",0,52.57,71.1466666666667,4.11,NA,0.94
1003,"11/2015",0,63.42,81.4566666666667,4.43333333333333,NA,4.2
1003,"11/2016",0,61.2633333333333,68.98,1.75666666666667,NA,0.95
1003,"11/2017",0,59.28,80.43,3.31666666666667,NA,0.28
1003,"11/2018",0,55.8066666666667,84.4566666666667,3.19666666666667,NA,4.9
1003,"11/2019",0,55.4333333333333,75.5166666666667,2.61,NA,0.57
